803239820-00;Athos Q Velit 
531365444-00;Ana Luiza W Vasconcelos
868899357-00;Wernen B Heredia 
269576103-00;Breno K Maciel
421311121-00;Mariana M Velit 
380369096-00;Marcus N Sathler
632656843-00;Pedro G Furtado 
262998569-00;Alex I de Paula
397917528-00;Felipe Y Bertolini
672512998-00;Marcus L de Castro 
249728067-00;Caio J da Silva
794963919-00;Luis Paulo V Miranda
752008575-00;Pedro G Castilho 
335363302-00;Ítalo V de Paiva
590956192-00;Guilherme Henrique R Souza 
189964905-00;Filipe M Heredia 
631440223-00;Alan E Gabriel
511275256-00;Yuske F Costa
490242980-00;Willian L Magalhães
516879262-00;Luiz Henrique K de Paula
192515614-00;Willian E Heredia 
437941256-00;Caio P Freire
523024577-00;Luiz Henrique O de Paiva
239260048-00;Isadora W Santos
569418444-00;Mateus B Rodrigues 
650987295-00;Victor Hugo B Pereira
332775303-00;Douglas Q Magalhães
228459699-00;Wernen T Maciel
676673288-00;Nicole K Santos
471017862-00;Vinicius W da Silva
474236997-00;Joao Victor C Miranda
531944149-00;Guilherme M de Paiva
249899592-00;Norton R Oliveira
794781112-00;Victor Henrique J Oliveira
603046805-00;Vinicius L Barbosa 
739971962-00;Luciano Z Maciel
818325127-00;Filipe Z Rodrigues 
460075414-00;Matheus J Heredia 
116804554-00;Athos B Duarte de Carvalho
474358502-00;Alexander L Bertolini
562095665-00;Wernen P Furtado 
660576070-00;Wernen U Bertolini
696054684-00;Luiz Henrique X de Jesus
256419539-00;Luiz Henrique N Maciel
826869302-00;Filipe S Vasconcelos
737099765-00;Joao Victor J Gomes 
825785404-00;Athos O Santos
192676894-00;Willian V Pacheco 
109995554-00;Caio M Silvino 
458238526-00;Bruno D Miranda
152942590-00;Breno X Silvino 
359442755-00;Luis Paulo N Souza 
445628687-00;Luís Otávio Q Miranda
451085820-00;Caio B Castilho 
792247376-00;Marcus F Carvalho
384922632-00;Luís Otávio A Barros
446678881-00;Luciano X Silvino 
710734130-00;Luiz Henrique G Carvalho
376959605-00;Joao Victor M de Castro 
806953835-00;Norton D Heredia 
670458573-00;Guilherme E Villani
615865766-00;Luciano W Cadar
135925023-00;Caio C Diniz
107137319-00;Wernen C Heredia 
770508527-00;Lucas F da Silva
137440449-00;Joao Victor O de Paula
846613171-00;Marcus M Candido
845949581-00;Vinicius B de Jesus
390331773-00;Luís Otávio H Abdalla
682862012-00;Douglas N Pereira
577603154-00;Alan L Candido
630703186-00;Luiz Henrique N da Silva
626917894-00;Caio G Sathler
821352450-00;Breno W Souza 
173429063-00;Athos Y Furtado 
765848256-00;Nicole A Duarte de Carvalho
751682110-00;Wernen Q Souza 
759628847-00;Alan Z Cadar
384978308-00;Mateus J de Paula
823672619-00;Nicole W Pereira
275493059-00;Rafael U Souza 
137276816-00;Ian I Castilho 
326918488-00;Alexander P Oliveira
620695811-00;Ítalo L Pereira
494659526-00;Joao Victor F Arruda
874766254-00;Felipe F Costa
414837620-00;Ana Luiza K Cadar
688548035-00;Marcus S Cadar
208969474-00;Rodrigo I Maciel
652486181-00;Marcus V Carvalho
732947124-00;Wernen A Velit 
306820295-00;Guilherme Henrique A de Paula
410046273-00;Pedro W Velit 
833592417-00;Alan D Barros
459482269-00;Luis Paulo S Pereira
102533034-00;Ian X Freire
118175854-00;Nicole A Velit 
517778040-00;Guilherme Henrique J Furtado 
586892889-00;Filipe C Vasconcelos
747596726-00;Caio E Barros
856080550-00;Matheus V Souza 
166251756-00;Alan O Massula
500927296-00;Wernen B Furtado 
123616435-00;Daniela P Furtado 
349639389-00;Bruno U Villani
347180372-00;Joao Victor B Gabriel
202175565-00;Daniela P Freire
573579248-00;Rodrigo W Diniz
384960599-00;Bruno A Barros
380880153-00;Norton C Candido
764971991-00;Matheus F Cadar
103746629-00;Victor Henrique O Pereira
498253092-00;Mateus E Santos
311759485-00;Rafael S Villani
104637045-00;Athos U Massula
814732617-00;Luís Otávio U Velit 
234597920-00;Mateus B Abdalla
740475645-00;Mateus T Magalhães
122300068-00;Luciano E Santos
868676240-00;Rafael Z Barbosa 
850413903-00;Ítalo M Carvalho
678423265-00;Alexander S Arruda
605333697-00;Guilherme Henrique Q Rodrigues 
679342229-00;Filipe F Abdalla
391925313-00;Victor Hugo K Magalhães
520296014-00;Yuske W Maciel
823644261-00;Isadora L Souza 
160580777-00;Alex F Maciel
140987653-00;Lucas X Carvalho
581913712-00;Nicole M Gomes 
267568462-00;Nicole F Freire
268976722-00;Vinicius R Sathler
181437772-00;Pedro T Candido
271546608-00;Victor Henrique J Costa
765209140-00;Caio B Pereira
720304467-00;Guilherme F Freire
544457813-00;Douglas V Bertolini
739497611-00;Yuske Y Gabriel
675273337-00;Marcus A Silvino 
288479340-00;Vinicius F Carvalho
101875322-00;Alex Q Cadar
217623121-00;Alexander Y Abdalla
746287147-00;Filipe N Heredia 
766049540-00;Vinicius D Villani
830251995-00;Victor Hugo L Arruda
632403292-00;Luiz Henrique E Silvino 
708785812-00;Alex L Pacheco 
331652479-00;Daniela X Barros
875288096-00;Marcus P Araujo
441583698-00;Athos G de Paiva
231226843-00;Mateus C Vasconcelos
233273495-00;Victor Henrique V Candido
349004826-00;Ian I Miranda
543109142-00;Victor Henrique T Abdalla
173184658-00;Luis Paulo U Costa
662075024-00;Norton F Sathler
620101496-00;Vinicius E Costa
888027890-00;Felipe H de Jesus
279621001-00;Caio F Vasconcelos
747542822-00;Victor Henrique T Heredia 
687332038-00;Rafael M Sathler
550849297-00;Guilherme Henrique U Silvino 
849509857-00;Guilherme Henrique X da Silva
697591182-00;Yuske Y Pacheco 
348100634-00;Luiz Henrique P Gomes 
243530052-00;Daniela D Silvino 
147836256-00;Breno K de Jesus
817521411-00;Felipe S de Castro 
174837967-00;Isadora P Heredia 
812701623-00;Rafael C Abdalla
510582013-00;Guilherme Y Massula
790184222-00;Victor Hugo O Miranda
659556149-00;Douglas N Massula
310425270-00;Bruno U Freire
856284332-00;Victor Hugo E Vasconcelos
762543962-00;Wernen G Barbosa 
241086086-00;Rafael G Maciel
343549146-00;Ana Luiza E de Jesus
244220898-00;Luciano I Oliveira
235081151-00;Wernen I Villani
569721116-00;Mateus F Castilho 
330298386-00;Isadora R de Castro 
234746316-00;Willian J Pereira
633250283-00;Joao Victor M Magalhães
679903229-00;Wernen T Sathler
549705432-00;Alexander T Candido
758284933-00;Vinicius B Santos
123431308-00;Alexander H Duarte de Carvalho
564374286-00;Luiz Henrique K Abdalla
338145963-00;Luís Otávio R Pereira
767283320-00;Alex Q Arruda
260677026-00;Alexander G Gomes 
307871878-00;Wernen B Sathler
782692995-00;Alex E Oliveira
635701935-00;Mariana R Gomes 
293783545-00;Luis Paulo A Maciel
644852810-00;Daniela K Carvalho
491765716-00;Joao Victor W Barros
554119174-00;Vinicius B Sathler
425716435-00;Guilherme Henrique B Heredia 
360161581-00;Patryck F Candido
868650420-00;Luiz Henrique F Arruda
500042782-00;Lucas U de Paula
221226014-00;Luiz Henrique W Santos
393293879-00;Vinicius D de Paiva
667830589-00;Athos I Araujo
202906052-00;Athos E Oliveira
487655810-00;Douglas K Rodrigues 
109221227-00;Filipe C Carvalho
392388634-00;Luciano J Araujo
172855457-00;Douglas O Pacheco 
667330718-00;Caio J Heredia 
859486910-00;Alexander I Arruda
512740979-00;Vinicius J Cadar
604745735-00;Alexander I Vasconcelos
195570062-00;Breno E Velit 
420345691-00;Filipe E Cadar
121609367-00;Ian D Magalhães
691791448-00;Alex W Gomes 
362986942-00;Felipe H Maciel
815130971-00;Mateus X Maciel
888308919-00;Ian H de Castro 
885478899-00;Wernen Z Heredia 
780156195-00;Victor Hugo H da Silva
395046435-00;Breno Z Costa
417892542-00;Alexander P Rodrigues 
628527216-00;Alexander L Duarte de Carvalho
636173822-00;Ian D Duarte de Carvalho
676606415-00;Guilherme R Araujo
183521916-00;Breno B Barbosa 
215784509-00;Nicole H Souza 
695210348-00;Willian F Miranda
322805937-00;Breno R Furtado 
170669167-00;Alan W Carvalho
724537736-00;Ítalo O Gomes 
784232580-00;Ítalo P Rodrigues 
402488603-00;Willian S Sathler
416291862-00;Victor Hugo H Guimarães
165641069-00;Felipe C Guimarães
507951048-00;Norton N Pereira
680575617-00;Willian O Pacheco 
141223784-00;Victor Hugo W Diniz
367044486-00;Caio Y Castilho 
440245012-00;Mariana D Diniz
835463797-00;Athos N Barros
413529336-00;Patryck G Castilho 
796520698-00;Alan U Rodrigues 
117616407-00;Patryck O Pacheco 
827231805-00;Vinicius A Castilho 
488397890-00;Filipe Q Bertolini
258224948-00;Luis Paulo G de Paula
794915287-00;Wernen S Arruda
588498502-00;Ítalo O Diniz
190300944-00;Willian Z Heredia 
683261989-00;Lucas S da Silva
456990551-00;Alexander J Maciel
799771767-00;Bruno V Duarte de Carvalho
163553974-00;Norton T Castilho 
551849819-00;Luis Paulo V Velit 
247777634-00;Isadora S Heredia 
875051268-00;Luiz Henrique F Barbosa 
788755164-00;Luís Otávio Q Heredia 
426747960-00;Filipe B Bertolini
625222285-00;Lucas D Barros
192829934-00;Bruno Z Candido
764146105-00;Luis Paulo C de Jesus
432283546-00;Wernen D Maciel
580102488-00;Yuske J Furtado 
589455329-00;Daniela F Araujo
515606341-00;Daniela N Villani
751061784-00;Willian Q Freire
590105132-00;Filipe I Araujo
812463299-00;Filipe I Barros
399282650-00;Marcus A Souza 
444231481-00;Guilherme C da Silva
807382127-00;Guilherme B Oliveira
641732668-00;Yuske W Velit 
238613250-00;Luis Paulo O de Paiva
404343747-00;Alexander G Rodrigues 
668677169-00;Caio Z Candido
223514808-00;Luís Otávio W Araujo
332472223-00;Rodrigo F Heredia 
639542207-00;Rafael N Barbosa 
710630654-00;Pedro N Souza 
464597004-00;Daniela R Villani
248283768-00;Ana Luiza F de Paula
789453725-00;Guilherme M Oliveira
298435889-00;Alexander I Freire
885938347-00;Pedro B de Jesus
210182806-00;Guilherme F Furtado 
463337742-00;Luis Paulo Q de Jesus
508755404-00;Pedro N Cadar
858250512-00;Nicole O Magalhães
373654464-00;Guilherme Henrique R Furtado 
757910223-00;Marcus I Gomes 
637068618-00;Wernen F Carvalho
652047883-00;Luis Paulo Y Costa
840874500-00;Isadora V Magalhães
472504198-00;Luis Paulo V Araujo
521422193-00;Pedro F Castilho 
444826964-00;Nicole T Souza 
723512959-00;Joao Victor J Miranda
285826454-00;Luciano E Heredia 
801179845-00;Nicole S Candido
349877916-00;Victor Hugo X da Silva
444114688-00;Ian F Santos
419379670-00;Guilherme I Souza 
556605404-00;Alan W Costa
815409494-00;Rafael G Gomes 
303168681-00;Rafael P da Silva
471952338-00;Willian S Furtado 
438218279-00;Alex G Magalhães
152091963-00;Guilherme Henrique C de Jesus
134133602-00;Vinicius D Massula
483662088-00;Felipe L Santos
395907402-00;Douglas N Sathler
765316139-00;Alan L Silvino 
887259021-00;Norton C Freire
335706805-00;Joao Victor S Costa
282699016-00;Felipe Z Villani
105950128-00;Victor Hugo L Oliveira
847441937-00;Alan L Duarte de Carvalho
192246653-00;Filipe I Barbosa 
180940964-00;Yuske U Duarte de Carvalho
216164436-00;Norton R Silvino 
454320302-00;Luis Paulo R Vasconcelos
567340502-00;Isadora C Silvino 
174358122-00;Alex D Costa
786038660-00;Isadora W Guimarães
360465111-00;Luis Paulo H Bertolini
495671879-00;Pedro F Pereira
715125837-00;Guilherme X Villani
468164457-00;Ana Luiza I Diniz
350138472-00;Ian W Castilho 
526182408-00;Vinicius Y Cadar
747753857-00;Felipe Q Candido
296078044-00;Vinicius H Souza 
702800343-00;Alan R Furtado 
222882332-00;Victor Hugo J Diniz
137497846-00;Yuske C Barbosa 
552649887-00;Mariana Q Guimarães
345581980-00;Ítalo J Heredia 
250222429-00;Victor Hugo L Carvalho
875203003-00;Norton L de Paiva
808005831-00;Isadora N de Jesus
531163084-00;Lucas Q Gomes 
224446350-00;Luís Otávio G Guimarães
252002200-00;Rafael Y Guimarães
571340695-00;Matheus N Oliveira
412477625-00;Luís Otávio Z Freire
320379593-00;Filipe J Gomes 
773201329-00;Guilherme Henrique Y Diniz
718306755-00;Alexander R de Paiva
315023017-00;Luciano Z Rodrigues 
882220844-00;Mariana V Silvino 
743459611-00;Pedro K Abdalla
201498751-00;Luiz Henrique Q Abdalla
626972431-00;Willian R de Castro 
437608631-00;Bruno C Maciel
483813988-00;Willian D de Castro 
242734269-00;Alexander V Maciel
403087782-00;Yuske M Sathler
459362639-00;Luís Otávio P Guimarães
393679833-00;Joao Victor J Silvino 
372280625-00;Alan V Maciel
527855736-00;Victor Henrique W Araujo
390024524-00;Lucas G Magalhães
191143296-00;Patryck E Pacheco 
492418498-00;Alexander G Bertolini
714405525-00;Norton M Santos
628980501-00;Douglas F Duarte de Carvalho
553549922-00;Luciano P Heredia 
467085279-00;Luciano P Maciel
122930911-00;Patryck A Villani
331072686-00;Luís Otávio D Araujo
550536179-00;Isadora U Cadar
190569400-00;Yuske E Guimarães
565052852-00;Luís Otávio X Pereira
795527541-00;Filipe Z Pereira
568024388-00;Willian Q Castilho 
449945281-00;Yuske I Santos
316752947-00;Filipe B Barbosa 
295801230-00;Luciano Y Pacheco 
642161394-00;Ian H Oliveira
118058046-00;Caio D Candido
134337242-00;Caio S Guimarães
502508431-00;Luis Paulo E Maciel
682489672-00;Ana Luiza P Furtado 
361911886-00;Nicole O de Paiva
793098170-00;Felipe R Sathler
688823639-00;Bruno F Furtado 
362486642-00;Wernen L Furtado 
654331954-00;Vinicius F Castilho 
714911053-00;Norton U Freire
837030247-00;Guilherme B Pereira
875348797-00;Felipe N Sathler
473697971-00;Marcus G Massula
338337709-00;Ana Luiza K Costa
651557415-00;Willian M Abdalla
123118740-00;Lucas U Pacheco 
872208021-00;Athos Z Costa
431089553-00;Guilherme Henrique R Vasconcelos
192636243-00;Vinicius M Furtado 
525826453-00;Norton G Heredia 
762819657-00;Matheus G Magalhães
724406163-00;Mariana I Guimarães
822427596-00;Yuske Z Arruda
590946403-00;Alex R Carvalho
264429633-00;Joao Victor A Diniz
596770745-00;Caio K Silvino 
757341310-00;Douglas K Pereira
539367683-00;Victor Henrique G Freire
337824508-00;Guilherme Z Souza 
556984640-00;Bruno C de Jesus
642832419-00;Rafael H Gomes 
568401864-00;Mateus Z Heredia 
857908489-00;Bruno M Abdalla
559402578-00;Mariana U Gabriel
436475516-00;Alex V Duarte de Carvalho
767279589-00;Ítalo K Santos
187735651-00;Bruno Y Bertolini
782309234-00;Felipe A Rodrigues 
763557755-00;Alan I Massula
153470299-00;Daniela I Diniz
352181357-00;Isadora Y Barros
630113158-00;Alex E Souza 
396504882-00;Daniela B Vasconcelos
570107975-00;Luis Paulo W Santos
114856623-00;Bruno A Diniz
428579407-00;Breno I da Silva
375448330-00;Felipe P Magalhães
607088726-00;Luciano Y Gabriel
361637793-00;Rafael E Maciel
206464960-00;Vinicius D de Castro 
859077232-00;Lucas U Villani
713516433-00;Joao Victor Q Castilho 
884905213-00;Mariana Z Barros
273162674-00;Rodrigo S Pereira
159240720-00;Patryck T Duarte de Carvalho
702643445-00;Ian A Vasconcelos
312873864-00;Luciano F Guimarães
444096975-00;Breno J de Paiva
125809686-00;Willian C Araujo
404494103-00;Victor Hugo Q da Silva
437716349-00;Wernen B Santos
437569763-00;Breno O Diniz
562640229-00;Guilherme Henrique N Maciel
702212758-00;Joao Victor G Souza 
357533755-00;Alexander J Duarte de Carvalho
771968740-00;Filipe Z Santos
441112590-00;Lucas K Pacheco 
869120101-00;Ian O Abdalla
179856567-00;Nicole I de Paula
472143476-00;Luís Otávio N Abdalla
193064640-00;Victor Hugo C Barbosa 
481478666-00;Vinicius G da Silva
487799715-00;Alex F Villani
660082248-00;Alan Y Bertolini
745832253-00;Guilherme T Silvino 
223473482-00;Mariana B Abdalla
556007487-00;Victor Hugo P Gomes 
761198535-00;Victor Henrique Y Heredia 
225272191-00;Guilherme Henrique X Duarte de Carvalho
631436197-00;Guilherme S de Castro 
136211832-00;Norton T Miranda
220076104-00;Pedro E da Silva
386702522-00;Isadora N Candido
340816672-00;Matheus F Gabriel
470905213-00;Daniela U Castilho 
161808083-00;Guilherme C Souza 
576338981-00;Luís Otávio Y Heredia 
404893031-00;Alan J Gomes 
260319127-00;Ian Q Carvalho
696218751-00;Mariana L Carvalho
403684417-00;Athos G Heredia 
551598171-00;Guilherme W Costa
253649842-00;Athos P Vasconcelos
121830162-00;Douglas K Heredia 
296220048-00;Douglas S de Paiva
375566962-00;Bruno Z Castilho 
464823540-00;Luciano I Gabriel
783666738-00;Guilherme Henrique C da Silva
695787072-00;Alex F Bertolini
757311087-00;Lucas G Barros
639810753-00;Breno F Vasconcelos
832304223-00;Athos B Gabriel
365391401-00;Mateus P Abdalla
529793511-00;Ana Luiza L Costa
786217886-00;Alex H Diniz
793942960-00;Joao Victor W Sathler
823833930-00;Felipe S Santos
161452470-00;Guilherme G Oliveira
578541825-00;Felipe A Gomes 
282858558-00;Felipe R de Jesus
823771657-00;Guilherme Henrique M Pereira
378258613-00;Alexander T Duarte de Carvalho
309035785-00;Ana Luiza R Silvino 
259117808-00;Luís Otávio P de Paiva
741024159-00;Ítalo K Gomes 
557254230-00;Lucas R Costa
278699655-00;Filipe D Duarte de Carvalho
464983659-00;Rafael B Velit 
324063704-00;Alan M Cadar
370720947-00;Patryck H Villani
184440097-00;Luciano Y Bertolini
593379977-00;Ana Luiza U Silvino 
755939017-00;Luiz Henrique R Rodrigues 
387631379-00;Luciano Z Gabriel
692510964-00;Alexander S Vasconcelos
601803317-00;Norton Y Candido
156098960-00;Douglas L Rodrigues 
407752779-00;Luis Paulo A Villani
226917376-00;Athos F Velit 
108715784-00;Alex Y Costa
735187710-00;Victor Hugo B Carvalho
735348528-00;Rafael I Magalhães
617530193-00;Guilherme O Rodrigues 
343352714-00;Luis Paulo G de Jesus
776576645-00;Alexander L Silvino 
182907203-00;Filipe Q Araujo
686755152-00;Alan Y Oliveira
626107506-00;Luciano Z Duarte de Carvalho
722730774-00;Vinicius B Heredia 
195370455-00;Nicole L Velit 
159906333-00;Breno O Bertolini
371608339-00;Patryck V Villani
645579377-00;Victor Henrique E Castilho 
543465993-00;Luciano T Furtado 
535315828-00;Luis Paulo O Freire
797205356-00;Bruno H Barbosa 
761163044-00;Patryck N Abdalla
118481225-00;Mariana E da Silva
270636254-00;Athos O Sathler
523408680-00;Norton T de Paiva
623057427-00;Alex A Heredia 
828211045-00;Felipe K Vasconcelos
834818897-00;Breno Y Araujo
468154840-00;Yuske N Furtado 
385675244-00;Ana Luiza E Barros
851588738-00;Luis Paulo F Oliveira
133224255-00;Bruno T Silvino 
561724103-00;Ítalo G de Castro 
472887853-00;Caio D Villani
691140703-00;Joao Victor U Araujo
153752016-00;Ian A de Castro 
749653978-00;Rafael B Magalhães
219716539-00;Pedro W Massula
591363650-00;Luis Paulo H Castilho 
514344124-00;Filipe N Araujo
457073341-00;Rafael Q Castilho 
385413348-00;Alex Y Abdalla
264561550-00;Isadora E Vasconcelos
738896756-00;Luís Otávio O de Jesus
810601839-00;Joao Victor O Velit 
